Class ID,Class Name,Area 2015 (sq km),Area 2025 (sq km),Change (sq km),Change (%)
0,Water,729.49,33.4,-696.09,-95.42
1,Trees,3609.89,2997.96,-611.9299999999998,-16.95
2,Grass,5405.58,5912.45,506.8699999999999,9.38
3,Flooded Vegetation,86.94,21.78,-65.16,-74.95
4,Crops,916.71,1036.7,119.99000000000001,13.09
5,Shrub & Scrub,2631.28,3165.08,533.7999999999997,20.29
6,Built Area,114.93,317.05,202.12,175.86
7,Bare Ground,15.97,26.52,10.549999999999999,66.06
8,Snow & Ice,0.16,0.01,-0.15,-93.75
