Class ID,Class Name,Area 2015 (sq km),Area 2025 (sq km),Change (sq km),Change (%)
0,Water,36.64,5.76,-30.880000000000003,-84.28
1,Trees,673.24,552.77,-120.47000000000003,-17.89
2,Grass,277.26,140.69,-136.57,-49.26
3,Flooded Vegetation,1.77,4.55,2.78,157.06
4,Crops,173.1,232.76,59.66,34.47
5,Shrub & Scrub,160.74,227.94,67.19999999999999,41.81
6,Built Area,422.76,581.04,158.27999999999997,37.44
7,Bare Ground,0.01,0.03,0.019999999999999997,200.0
8,Snow & Ice,0.0,0.0,0.0,0.0
